Country,Year,LifeExpectancy,GDPperCapita,Population,SchoolEnrollment,InternetUsers,HealthExpenditure,LiteracyRate,GDPGrowth
Czechia,1995,73.0748780487805,5865.294605567264,10327253.0,,1.4500000000000002,,,6.221405988638324
"Venezuela, RB",2006,72.972,6739.380653422186,27224686.0,102.063499450684,15.2247,,94.6620701964151,9.87214910851037
Fragile and conflict affected situations,2017,61.22968268701245,1706.4432685408462,931222867.0,92.0168609619141,22.5,69.77243122064442,67.6090316772461,2.568696398781384
Croatia,2001,74.51292682926831,5364.838246916065,4299642.0,101.51358795166,11.5586,388.32489014,98.1500015258789,3.111234878937182
Monaco,2003,83.613,111110.45131224942,32374.0,,49.4912,4822.00146484,,1.0875365474680052
Austria,1997,77.31951219512196,26571.752362650797,7968041.0,,9.53,,,2.145835055264598
Cote d'Ivoire,2011,55.972,1596.6282656599792,22982000.0,73.5641637291114,2.9,67.97618103,,-5.370447240005788
Burkina Faso,2013,57.903,759.7620651684981,17695409.0,83.2890892862992,5.0,42.26796341,,5.792584845098673
Sweden,2007,80.90000000000002,53568.56455232127,9148092.0,100.05542755127,82.01,4310.32666016,,3.2249113242818623
New Zealand,2016,81.65853658536587,40113.71953824275,4714100.0,98.5837478637695,86.5,3702.37109375,,3.779110683543337
Greece,2016,81.3878048780488,17919.24263770477,10775971.0,99.3706512451172,69.0879,1513.25915527,,-0.0317947678412053
Latvia,1997,69.34926829268294,2609.8930869719456,2432851.0,,2.0500000000000003,,,9.171476340720844
Small states,2003,67.51377969573764,6055.638542909621,16441139.0,102.139099121094,,358.64404215906825,82.9844207763672,4.738418475927858
Greenland,2018,71.96756097560976,54545.13585776503,56023.0,,,,,0.62306542854094
Cayman Islands,1994,73.42,,31352.0,,0.0,,,
Belgium,2019,81.99512195121952,46716.622746796435,11488980.0,102.148559570312,90.2754,5033.16601563,,2.4428900448155986
Late-demographic dividend,1992,68.77012987696496,1069.1517374203816,1890820460.0,113.067230224609,,,83.8780975341797,0.8259715275078321
"Hong Kong SAR, China",2011,83.4119512195122,35142.48793445426,7071600.0,104.602752580544,72.2,,,4.814681001206594
Curacao,1991,72.536,,144403.0,,,,,
Malta,1992,76.56512195121952,8220.334039246656,367618.0,,,,,4.690932172306233
Nauru,2005,59.361,3013.5177815185516,10049.0,121.36637878418,,328.92779541,,-0.3556488744714983
Dominica,2007,71.901,6459.035036896091,68847.0,103.040061950684,40.2745,293.30905151,,5.357937557587803
Early-demographic dividend,2012,68.60946302841214,3360.4546107202855,3058869436.0,105.739212036133,,160.37316146108137,76.0347595214844,4.208404755750266
"Iran, Islamic Rep.",2020,74.141,2988.781224147159,87723443.0,104.680130004883,75.5699,201.4589386,87.9027874156509,3.330288459265944
France,1992,77.10000000000001,23615.01685654829,58846584.0,,0.2789999999999999,,,1.5160611169627032
Tajikistan,2008,67.924,703.3273758986428,7338403.0,99.660530090332,8.78,41.35135651,,7.899998271549393
IDA only,2010,62.04434512884074,875.3656513212112,931508127.0,97.8945236206055,4.2,38.20322245752458,59.873779296875,6.442586063054634
Greece,1990,76.93902439024392,9466.662385021744,10196792.0,,0.0,,,0.0
Moldova,1999,67.205,399.4998185963363,2930622.0,,0.601,,,-3.368254476572176
Senegal,1993,57.348,877.5290034380299,8396288.0,51.8782196044922,,,,1.3602130065134617
Tonga,1992,67.927,1370.361425986988,100022.0,,,,,0.2519733958388173
Bulgaria,2015,74.61463414634147,7268.654454738727,6984225.0,99.1272201538086,56.6563,521.41906738,,3.3975532586942165
New Zealand,1991,76.03170731707318,12230.073454883395,3495100.0,,,,,-1.090793225335034
Seychelles,1999,72.66829268292685,8243.236100990844,80410.0,107.292572021484,6.23,,,1.8720051089387937
