Property Name,Portfolio Manager ID,Portfolio Manager Meter ID,Meter Name,Meter Type,Units,First Day of First Meter Entry,Last Day of Last Meter Entry
25 Via Renzo Drive,34999533,190104857,AUTO_25 Via Renzo Drive-Natural Gas,Natural Gas,cm (cubic meters),2019-01-01 00:00:00,2024-01-01 00:00:00
275 Merton St,34999096,190104863,AUTO_275 Merton St-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
275 Merton St,34999096,190104865,AUTO_275 Merton St-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Dundas Subway Stn,35000674,190109561,AUTO_Dundas Subway Stn-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-31 00:00:00
Dundas W Subway Stn,35000675,190109574,AUTO_Dundas W Subway Stn-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-01 00:00:00
Curran Hall Community Centre,34999200,190109691,AUTO_Curran Hall Community Centre-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Curran Hall Community Centre,34999200,190109692,AUTO_Curran Hall Community Centre-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Danforth Early Learning & Child Care Centre,34999178,190109716,AUTO_Danforth Early Learning & Child Care Centre-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Danforth Early Learning & Child Care Centre,34999178,190109717,AUTO_Danforth Early Learning & Child Care Centre-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Davenport 1347,34999201,190109719,AUTO_Davenport 1347-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Davenport 1347,34999201,190109720,AUTO_Davenport 1347-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Dee Avenue Lab,34999476,190109736,AUTO_Dee Avenue Lab-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Dee Avenue Lab,34999476,190109737,AUTO_Dee Avenue Lab-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Disco Yd Bldg A- Employee Bldg,35000492,190109747,AUTO_Disco Yd Bldg A- Employee Bldg-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-05-01 00:00:00
Don Montgomery Community Centre,34999430,190109772,AUTO_Don Montgomery Community Centre-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Don Montgomery Community Centre,34999430,190109773,AUTO_Don Montgomery Community Centre-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Donald D. Summerville Olympic Pool,34999698,190109780,AUTO_Donald D. Summerville Olympic Pool-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-10-01 00:00:00
Donald D. Summerville Olympic Pool,34999698,190109781,AUTO_Donald D. Summerville Olympic Pool-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-01 00:00:00
Douglas Snow Aquatic Centre,34999453,190109786,AUTO_Douglas Snow Aquatic Centre-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Douglas Snow Aquatic Centre,34999453,190109787,AUTO_Douglas Snow Aquatic Centre-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Dovercourt B&G Club,34999204,190109792,AUTO_Dovercourt B&G Club-Electric,Electric - Grid,kWh (thousand Watt-hours),Not Available,Not Available
Dovercourt B&G Club,34999204,190109793,AUTO_Dovercourt B&G Club-Natural Gas,Natural Gas,cm (cubic meters),Not Available,Not Available
Downsview Arena,34999431,190109797,AUTO_Downsview Arena-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Downsview Arena,34999431,190109798,AUTO_Downsview Arena-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Earl Bales Community Centre,34999206,190109821,AUTO_Earl Bales Community Centre-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Earl Bales Community Centre,34999206,190109824,AUTO_Earl Bales Community Centre-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
East Animal Centre,34999172,190109831,AUTO_East Animal Centre-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
East Animal Centre,34999172,190109832,AUTO_East Animal Centre-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
East Court & Municipal Services,34999113,190109835,AUTO_East Court & Municipal Services-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-09-01 00:00:00
East Court & Municipal Services,34999113,190109836,AUTO_East Court & Municipal Services-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-09-01 00:00:00
East Scarborough Boys/Girls Club,34999207,190109843,AUTO_East Scarborough Boys/Girls Club-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-01 00:00:00
East Scarborough Boys/Girls Club,34999207,190109844,AUTO_East Scarborough Boys/Girls Club-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-10-01 00:00:00
East York Civic Centre,34999114,190109854,AUTO_East York Civic Centre-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-31 00:00:00
East York Civic Centre,34999114,190109856,AUTO_East York Civic Centre-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-11-01 00:00:00
East York Community Centre,34999454,190109860,AUTO_East York Community Centre-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
East York Community Centre,34999454,190109861,AUTO_East York Community Centre-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Eastview Neighbourhood C.C.,34999208,190109894,AUTO_Eastview Neighbourhood C.C.-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-05-01 00:00:00
Eastview Neighbourhood C.C.,34999208,190109895,AUTO_Eastview Neighbourhood C.C.-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-05-01 00:00:00
28 Rean Drive Urban Square Park,34999556,190111294,AUTO_28 Rean Drive Urban Square Park-Electric,Electric - Grid,kWh (thousand Watt-hours),2020-10-02 00:00:00,2024-11-01 00:00:00
2985 Kingston Rd (EPIC Program),34999098,190111792,AUTO_2985 Kingston Rd (EPIC Program)-Natural Gas,Natural Gas,cm (cubic meters),2011-04-01 00:00:00,2024-03-01 00:00:00
2985 Kingston Rd (EPIC Program),34999098,190111793,AUTO_2985 Kingston Rd (EPIC Program)-Electric,Electric - Grid,kWh (thousand Watt-hours),2011-04-07 00:00:00,2024-03-01 00:00:00
3 Morningview Trail,35000602,190111843,AUTO_3 Morningview Trail-Electric,Electric - Grid,kWh (thousand Watt-hours),2014-08-01 00:00:00,2024-11-01 00:00:00
3 STRATHMORE BLVD,34999503,190112116,AUTO_3 STRATHMORE BLVD-Electric,Electric - Grid,kWh (thousand Watt-hours),2014-08-01 00:00:00,2024-06-01 00:00:00
3 STRATHMORE BLVD,34999503,190112117,AUTO_3 STRATHMORE BLVD-Natural Gas,Natural Gas,cm (cubic meters),2014-08-01 00:00:00,2024-06-01 00:00:00
30 Denton Ave,35000633,190112194,AUTO_30 Denton Ave-Electric,Electric - Grid,kWh (thousand Watt-hours),2017-04-06 00:00:00,2024-11-01 00:00:00
30 Woodrow Ave,34999504,190112475,AUTO_30 Woodrow Ave-Natural Gas,Natural Gas,cm (cubic meters),2020-01-24 00:00:00,2024-10-01 00:00:00
30 Woodrow Ave,34999504,190112476,AUTO_30 Woodrow Ave-Electric,Electric - Grid,kWh (thousand Watt-hours),2020-02-05 00:00:00,2024-10-01 00:00:00
302 Wilson Hts Blvd,35000566,190118194,AUTO_302 Wilson Hts Blvd-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
313 Gainsborough Rd,34999505,190119141,AUTO_313 Gainsborough Rd-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
3460 Midland Ave,35000603,190119313,AUTO_3460 Midland Ave-Electric,Electric - Grid,kWh (thousand Watt-hours),Not Available,Not Available
348 Queens Quay W,35000635,190119432,AUTO_348 Queens Quay W-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
40 Russell Hill Rd,34999509,190121237,AUTO_40 Russell Hill Rd-Electric,Electric - Grid,kWh (thousand Watt-hours),2011-05-26 00:00:00,2024-08-01 00:00:00
40 Russell Hill Rd,34999509,190121238,AUTO_40 Russell Hill Rd-Natural Gas,Natural Gas,cm (cubic meters),2016-09-01 00:00:00,2024-08-01 00:00:00
4001 Kingston Rd,35000466,190121386,AUTO_4001 Kingston Rd-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
43 Edwin Ave,34999511,190122427,AUTO_43 Edwin Ave-Electric,Electric - Grid,kWh (thousand Watt-hours),2014-08-01 00:00:00,2024-01-01 00:00:00
43 Edwin Ave,34999511,190122429,AUTO_43 Edwin Ave-Natural Gas,Natural Gas,cm (cubic meters),Not Available,Not Available
4421 Eglinton Ave W,35000605,190122553,AUTO_4421 Eglinton Ave W-Electric,Electric - Grid,kWh (thousand Watt-hours),2013-04-15 00:00:00,2024-11-01 00:00:00
4423 Eglinton Ave W,35000606,190122652,AUTO_4423 Eglinton Ave W-Electric,Electric - Grid,kWh (thousand Watt-hours),2013-04-15 00:00:00,2024-11-01 00:00:00
53 Strachan Ave,34999100,190125233,AUTO_53 Strachan Ave-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2022-07-23 00:00:00
