Property Name,Portfolio Manager ID,Portfolio Manager Meter ID,Meter Name,Meter Type,Units,First Day of First Meter Entry,Last Day of Last Meter Entry
#13 Police Division,35000258,189947941,AUTO_#13 Police Division-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-09-01 00:00:00
#13 Police Division,35000258,189947942,AUTO_#13 Police Division-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-09-01 00:00:00
#22 Police Division,35000260,189947959,AUTO_#22 Police Division-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-05-01 00:00:00
#22 Police Division,35000260,189947960,AUTO_#22 Police Division-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-05-01 00:00:00
#23 Police Division,35000261,189947990,AUTO_#23 Police Division-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
#23 Police Division,35000261,189947991,AUTO_#23 Police Division-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
#41 Police Division,35000265,189948016,AUTO_#41 Police Division-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-05-01 00:00:00
#41 Police Division,35000265,189948017,AUTO_#41 Police Division-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-05-01 00:00:00
#42 Police Division,35000266,189948021,AUTO_#42 Police Division-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-05-01 00:00:00
#42 Police Division,35000266,189948022,AUTO_#42 Police Division-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-05-01 00:00:00
#54 Police Division (#55 Subunit),35000271,189948070,AUTO_#54 Police Division (#55 Subunit)-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-08-01 00:00:00
#54 Police Division (#55 Subunit),35000271,189948071,AUTO_#54 Police Division (#55 Subunit)-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-08-01 00:00:00
0 Gardiner Expressway,35000550,189948081,AUTO_0 Gardiner Expressway-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-31 00:00:00
1 Ranleigh - Fire Vent,35000620,189948087,AUTO_1 Ranleigh - Fire Vent-Electric,Electric - Grid,kWh (thousand Watt-hours),2016-12-31 00:00:00,2024-10-31 00:00:00
1 STRATHMORE BLVD,34999485,189948099,AUTO_1 STRATHMORE BLVD-Electric,Electric - Grid,kWh (thousand Watt-hours),2014-08-01 00:00:00,2024-06-01 00:00:00
1 STRATHMORE BLVD,34999485,189948100,AUTO_1 STRATHMORE BLVD-Natural Gas,Natural Gas,cm (cubic meters),2014-08-01 00:00:00,2024-06-01 00:00:00
10 Daventry Rd,34999543,189948101,AUTO_10 Daventry Rd-Electric,Electric - Grid,kWh (thousand Watt-hours),2014-08-01 00:00:00,2024-11-01 00:00:00
100 Hickory Tree Rd.,34999544,189948102,AUTO_100 Hickory Tree Rd.-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-01 00:00:00
100 St Lawrence St,35000553,189948104,AUTO_100 St Lawrence St-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-31 00:00:00
1094 Lakeshore Blvd W,34999545,189948115,AUTO_1094 Lakeshore Blvd W-Electric,Electric - Grid,kWh (thousand Watt-hours),2020-09-14 00:00:00,2024-11-01 00:00:00
110 Coe Hill Dr (Blower Enclosure),34999477,189992512,AUTO_110 Coe Hill Dr (Blower Enclosure)-Electric,Electric - Grid,kWh (thousand Watt-hours),2018-12-12 00:00:00,2024-11-01 00:00:00
111 Frederick St,34999487,189992514,AUTO_111 Frederick St-Electric,Electric - Grid,kWh (thousand Watt-hours),Not Available,Not Available
113 Spadina Rd,34999490,189992520,AUTO_113 Spadina Rd-Natural Gas,Natural Gas,cm (cubic meters),2014-08-01 00:00:00,2024-10-01 00:00:00
113 Spadina Rd,34999490,189992521,AUTO_113 Spadina Rd-Electric,Electric - Grid,kWh (thousand Watt-hours),2014-08-01 00:00:00,2024-10-01 00:00:00
12 St. Dunstan Dr.,35000555,189992527,AUTO_12 St. Dunstan Dr.-Electric,Electric - Grid,kWh (thousand Watt-hours),Not Available,Not Available
1230 Eglinton Ave E,35000556,189992530,AUTO_1230 Eglinton Ave E-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-01 00:00:00
1231 Queen St W,34999547,189992534,AUTO_1231 Queen St W-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
128 York St Pole 50,35000621,189992536,AUTO_128 York St Pole 50-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-05-01 00:00:00
130 Elizabeth St,34999491,189992540,AUTO_130 Elizabeth St-Natural Gas,Natural Gas,cm (cubic meters),2021-11-10 00:00:00,2024-10-01 00:00:00
130 Elizabeth St,34999491,189992541,AUTO_130 Elizabeth St-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-01 00:00:00
1328 Lansdowne Ave,35000622,189992542,AUTO_1328 Lansdowne Ave-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-01 00:00:00
134 Spadina Rd,34999492,189992544,AUTO_134 Spadina Rd-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-08-01 00:00:00
134 Spadina Rd,34999492,189992545,AUTO_134 Spadina Rd-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-08-01 00:00:00
139 Marcos Blvd,34999548,189992549,AUTO_139 Marcos Blvd-Electric,Electric - Grid,kWh (thousand Watt-hours),2014-08-01 00:00:00,2024-11-01 00:00:00
Humber Treatment Plant,35000427,190077555,AUTO_Humber Treatment Plant-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Humber Treatment Plant,35000427,190077557,AUTO_Humber Treatment Plant-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Agincourt Library,35000292,190077604,AUTO_Agincourt Library-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Agincourt Library,35000292,190077605,AUTO_Agincourt Library-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Brock West Landfill (Closed),34999481,190079253,AUTO_Brock West Landfill (Closed)-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-01 00:00:00
Brookbanks Library,35000305,190079277,AUTO_Brookbanks Library-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Brookbanks Library,35000305,190079278,AUTO_Brookbanks Library-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Brookbanks Park,34999633,190079282,AUTO_Brookbanks Park-Electric,Electric - Grid,kWh (thousand Watt-hours),Not Available,Not Available
Brule Gardens Sewage Pumping Station,35000387,190079292,AUTO_Brule Gardens Sewage Pumping Station-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Buttonwood Park,34999636,190079382,AUTO_Buttonwood Park-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Buttonwood Park,34999636,190079383,AUTO_Buttonwood Park-Natural Gas,Natural Gas,cm (cubic meters),2018-11-27 00:00:00,2024-01-01 00:00:00
Campbell Park,34999638,190079417,AUTO_Campbell Park-Natural Gas,Natural Gas,cm (cubic meters),2014-12-01 00:00:00,2023-10-26 00:00:00
Campbell Park,34999638,190079418,AUTO_Campbell Park-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Canoe Landing Park,34999640,190079542,AUTO_Canoe Landing Park-Electric,Electric - Grid,kWh (thousand Watt-hours),2014-01-01 00:00:00,2024-10-31 00:00:00
Carlingview Pumping Station,35000798,190079587,AUTO_Carlingview Pumping Station-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
Carlton Park,34999641,190079595,AUTO_Carlton Park-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
Carpark 11,35000119,190079739,AUTO_Carpark 11-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-31 00:00:00
Carpark 110,35000120,190079740,AUTO_Carpark 110-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
Carpark 111,35000121,190079744,AUTO_Carpark 111-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-31 00:00:00
Carpark 116,35000122,190079745,AUTO_Carpark 116-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
Carpark 131,35000126,190079754,AUTO_Carpark 131-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
Carpark 137,35000128,190079763,AUTO_Carpark 137-Electric,Electric - Grid,kWh (thousand Watt-hours),2016-12-06 00:00:00,2024-11-01 00:00:00
Carpark 142,35000130,190079789,AUTO_Carpark 142-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
Carpark 149,35000134,190079804,AUTO_Carpark 149-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
Brock North Landfill (Closed),34999480,190079837,AUTO_Brock North Landfill (Closed)-Electric,Electric - Grid,kWh (thousand Watt-hours),2016-05-31 00:00:00,2024-09-30 00:00:00
Carpark 150,35000135,190079860,AUTO_Carpark 150-Electric,Electric - Grid,kWh (thousand Watt-hours),2016-10-31 00:00:00,2024-10-31 00:00:00
Carpark 152,35000136,190079861,AUTO_Carpark 152-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
Carpark 156,35000138,190079877,AUTO_Carpark 156-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
Carpark 158,35000140,190079882,AUTO_1325QU-E,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
Carpark 164,35000141,190079884,AUTO_Carpark 164-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
Carpark 167,35000142,190079885,AUTO_18OSSI-E,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
Carpark 168,35000143,190079886,AUTO_Carpark 168-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
Carpark 170,35000145,190079891,AUTO_Carpark 170-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-01 00:00:00
Carpark 173,35000146,190079909,AUTO_Carpark 173-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
Carpark 174,35000147,190079910,AUTO_Carpark 174-Electric,Electric - Grid,kWh (thousand Watt-hours),Not Available,Not Available
Carpark 179,35000148,190079911,AUTO_Carpark 179-Electric,Electric - Grid,kWh (thousand Watt-hours),2016-11-24 00:00:00,2024-11-01 00:00:00
Carpark 18,35000149,190079912,AUTO_Carpark 18-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
Carpark 180,35000150,190079917,AUTO_Carpark 180-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-01 00:00:00
Carpark 19,35000153,190079978,AUTO_Carpark 19-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
Carpark 195,35000154,190079992,AUTO_Carpark 195-Electric,Electric - Grid,kWh (thousand Watt-hours),2016-11-09 00:00:00,2024-11-01 00:00:00
Carpark 20,35000155,190079993,AUTO_Carpark 20-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-01 00:00:00
Carpark 21,35000158,190080012,AUTO_Carpark 21-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
Carpark 223,35000164,190080041,AUTO_Carpark 223-Electric,Electric - Grid,kWh (thousand Watt-hours),2016-11-16 00:00:00,2024-11-01 00:00:00
Carpark 224,35000165,190080051,AUTO_Carpark 224-Electric,Electric - Grid,kWh (thousand Watt-hours),2016-11-17 00:00:00,2024-11-01 00:00:00
Carpark 226,35000166,190080068,AUTO_Carpark 226-Electric,Electric - Grid,kWh (thousand Watt-hours),2016-12-29 00:00:00,2024-10-01 00:00:00
Carpark 227,35000167,190080071,AUTO_Carpark 227-Electric,Electric - Grid,kWh (thousand Watt-hours),2014-08-21 00:00:00,2024-11-01 00:00:00
Eglinton Flats Service Building,35000499,190080075,AUTO_Eglinton Flats Service Building-Propane,Propane,Gallons (US),Not Available,Not Available
Eglinton Flats Service Building,35000499,190080076,AUTO_Eglinton Flats Service Building-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-01 00:00:00
Eglinton Flats Service Building,35000499,190080077,AUTO_Eglinton Flats Service Building-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-10-01 00:00:00
Eglinton Park,34999721,190080120,AUTO_Eglinton Park-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
Carpark 228,35000168,190080201,AUTO_Carpark 228-Electric,Electric - Grid,kWh (thousand Watt-hours),2016-11-28 00:00:00,2024-10-01 00:00:00
Carpark 229,35000169,190080241,AUTO_Carpark 229-Electric,Electric - Grid,kWh (thousand Watt-hours),2016-11-18 00:00:00,2024-11-01 00:00:00
Carpark 233,35000171,190080580,AUTO_Carpark 233-Electric,Electric - Grid,kWh (thousand Watt-hours),2016-09-01 00:00:00,2021-11-23 00:00:00
Carpark 235,35000172,190080583,AUTO_Carpark 235-Electric,Electric - Grid,kWh (thousand Watt-hours),2016-11-16 00:00:00,2024-11-01 00:00:00
Carpark 26,35000181,190080727,AUTO_Carpark 26-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Carpark 271,35000185,190080758,AUTO_Carpark 271-Electric,Electric - Grid,kWh (thousand Watt-hours),2016-11-18 00:00:00,2024-11-01 00:00:00
Carpark 277,35000186,190080765,AUTO_Carpark 277-Electric,Electric - Grid,kWh (thousand Watt-hours),2016-09-01 00:00:00,2024-11-01 00:00:00
Carpark 402,35000196,190081416,AUTO_Carpark 402-Electric,Electric - Grid,kWh (thousand Watt-hours),2016-11-30 00:00:00,2024-10-01 00:00:00
Carpark 41,35000199,190081437,AUTO_Carpark 41-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-01 00:00:00
Carpark 43,35000205,190081472,AUTO_Carpark 43-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-31 00:00:00
Carpark 501,35000212,190081591,AUTO_Carpark 501-Electric,Electric - Grid,kWh (thousand Watt-hours),2014-08-01 00:00:00,2024-11-01 00:00:00
Carpark 508,35000217,190081680,AUTO_Carpark 508-Electric,Electric - Grid,kWh (thousand Watt-hours),2016-11-23 00:00:00,2024-11-01 00:00:00
Carpark 517,35000221,190081755,AUTO_Carpark 517-Electric,Electric - Grid,kWh (thousand Watt-hours),2016-11-18 00:00:00,2024-11-01 00:00:00
Carpark 52,35000222,190081786,AUTO_Carpark 52-Natural Gas,Natural Gas,cm (cubic meters),2016-11-30 00:00:00,2023-10-27 00:00:00
Carpark 52,35000222,190081787,AUTO_Carpark 52-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-31 00:00:00
Carpark 521,35000223,190081809,AUTO_Carpark 521-Electric,Electric - Grid,kWh (thousand Watt-hours),2016-08-08 00:00:00,2024-11-01 00:00:00
Carpark 533,35000225,190081845,AUTO_Carpark 533-Electric,Electric - Grid,kWh (thousand Watt-hours),2018-10-25 00:00:00,2024-10-01 00:00:00
Carpark 602,35000227,190081866,AUTO_Carpark 602-Electric,Electric - Grid,kWh (thousand Watt-hours),2016-06-29 00:00:00,2024-10-01 00:00:00
Carpark 64,35000228,190081868,AUTO_Carpark 64-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
Carpark 653 & 654 Sign,35000231,190081923,AUTO_Carpark 653 & 654 Sign-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
Carpark 674,35000236,190082017,AUTO_Carpark 674-Natural Gas,Natural Gas,cm (cubic meters),2016-12-08 00:00:00,2024-10-01 00:00:00
Carpark 674,35000236,190082018,AUTO_Carpark 674-Electric,Electric - Grid,kWh (thousand Watt-hours),2016-11-16 00:00:00,2024-10-01 00:00:00
Carpark 68,35000237,190082019,AUTO_Carpark 68-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-31 00:00:00
Ellesmere Yard,35000500,190082037,AUTO_Ellesmere Yard-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-06-01 00:00:00
Ellesmere Yard,35000500,190082039,AUTO_Ellesmere Yard-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-06-01 00:00:00
Elmbrook Park Library,35000320,190082064,AUTO_Elmbrook Park Library-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Elmbrook Park Library,35000320,190082066,AUTO_Elmbrook Park Library-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Carpark 79,35000243,190082070,AUTO_Carpark 79-Electric,Electric - Grid,kWh (thousand Watt-hours),2016-08-01 00:00:00,2024-11-01 00:00:00
Carpark 801,35000245,190082071,AUTO_Carpark 801-Electric,Electric - Grid,kWh (thousand Watt-hours),2018-10-01 00:00:00,2024-11-01 00:00:00
Carpark 82,35000247,190082103,AUTO_Carpark 82-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
Carpark 85,35000249,190082114,AUTO_Carpark 85-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
Emery Parks Yard,35000501,190082116,AUTO_Emery Parks Yard-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Emery Parks Yard,35000501,190082117,AUTO_Emery Parks Yard-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Carpark 87,35000250,190082118,AUTO_Carpark 87-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-04-01 00:00:00
Carpark 96,35000255,190082139,AUTO_Carpark 96-Electric,Electric - Grid,kWh (thousand Watt-hours),2016-06-16 00:00:00,2024-11-01 00:00:00
Esther Shiner Stadium,34999727,190082140,AUTO_Esther Shiner Stadium-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Ethennonnhawahstihnen (Woodsy) Park,34999728,190082142,AUTO_Ethennonnhawahstihnen (Woodsy) Park-Electric,Electric - Grid,kWh (thousand Watt-hours),2019-10-25 00:00:00,2024-10-31 00:00:00
Ethennonnhawahstihnen (Woodsy) Park,34999728,190082143,AUTO_Ethennonnhawahstihnen (Woodsy) Park-Natural Gas,Natural Gas,cm (cubic meters),2019-10-25 00:00:00,2024-11-01 00:00:00
Etobicoke Civic Centre,34999117,190082183,AUTO_Etobicoke Civic Centre-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-09-01 00:00:00
Etobicoke Civic Centre,34999117,190082184,AUTO_Etobicoke Civic Centre-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-09-01 00:00:00
Cassels Ave Playground,34999643,190082219,AUTO_Cassels Ave Playground-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
Fairbank Park Pool,34999732,190082272,AUTO_Fairbank Park Pool-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Fairbank Park Pool,34999732,190082273,AUTO_Fairbank Park Pool-Natural Gas,Natural Gas,cm (cubic meters),2014-01-05 00:00:00,2024-01-01 00:00:00
Fairfield Senior Centre,34999215,190082291,AUTO_Fairfield Senior Centre-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Fairfield Senior Centre,34999215,190082292,AUTO_Fairfield Senior Centre-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Fairford Avenue Parkette,34999733,190082302,AUTO_Fairford Avenue Parkette-Electric,Electric - Grid,kWh (thousand Watt-hours),2015-06-24 00:00:00,2024-11-01 00:00:00
Fenside Arena,34999434,190082427,AUTO_Fenside Arena-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Fenside Arena,34999434,190082429,AUTO_Fenside Arena-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Centennial Park Conservatory,34999394,190082432,AUTO_Centennial Park Conservatory-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Centennial Park Conservatory,34999394,190082433,AUTO_Centennial Park Conservatory-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Centennial Recreation Centre,34999403,190082473,AUTO_Centennial Recreation Centre-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Centennial Recreation Centre,34999403,190082474,AUTO_Centennial Recreation Centre-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Fire Prevention Office,34999304,190082494,AUTO_Fire Prevention Office-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Fire Prevention Office,34999304,190082495,AUTO_Fire Prevention Office-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Chaplin Crescent Storage,34999107,190082505,AUTO_Chaplin Crescent Storage-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Chaplin Crescent Storage,34999107,190082506,AUTO_Chaplin Crescent Storage-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Fire Station 135 - OLD,34999320,190082600,AUTO_Fire Station 135 - OLD-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Fire Station 135 - OLD,34999320,190082601,AUTO_Fire Station 135 - OLD-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Fire Station 143,34999323,190084171,AUTO_Fire Station 143-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Fire Station 143,34999323,190084172,AUTO_Fire Station 143-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Fire Station 145,34999325,190084180,AUTO_Fire Station 145-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Fire Station 145,34999325,190084182,AUTO_Fire Station 145-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Fire Station 212/TPS Station #25,34999328,190084191,AUTO_Fire Station 212/TPS Station #25-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-11-01 00:00:00
Fire Station 212/TPS Station #25,34999328,190084192,AUTO_Fire Station 212/TPS Station #25-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-31 00:00:00
Fire Station 214,34999330,190084199,AUTO_Fire Station 214-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Fire Station 214,34999330,190084200,AUTO_Fire Station 214-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Fire Station 215,34999331,190084204,AUTO_Fire Station 215-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Fire Station 215,34999331,190084205,AUTO_Fire Station 215-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Fire Station 221,34999332,190084207,AUTO_Fire Station 221-Natural Gas,Natural Gas,cm (cubic meters),2013-12-17 00:00:00,2024-11-01 00:00:00
Fire Station 221,34999332,190084208,AUTO_Fire Station 221-Electric,Electric - Grid,kWh (thousand Watt-hours),2014-09-09 00:00:00,2024-11-01 00:00:00
Fire Station 223,34999334,190084215,AUTO_Fire Station 223-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Fire Station 223,34999334,190084216,AUTO_Fire Station 223-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Fire Station 227,34999338,190084245,AUTO_Fire Station 227-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Fire Station 227,34999338,190084246,AUTO_Fire Station 227-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Fire Station 231,34999339,190084253,AUTO_Fire Station 231-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Fire Station 231,34999339,190084254,AUTO_Fire Station 231-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Fire Station 232,34999340,190084256,AUTO_Fire Station 232-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Fire Station 232,34999340,190084257,AUTO_Fire Station 232-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Fire Station 233,34999341,190084260,AUTO_Fire Station 233-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Fire Station 233,34999341,190084261,AUTO_Fire Station 233-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Charles Caccia Park,34999649,190084270,AUTO_Charles Caccia Park-Electric,Electric - Grid,kWh (thousand Watt-hours),2019-06-04 00:00:00,2024-11-01 00:00:00
Fire Station 241,34999344,190084283,AUTO_Fire Station 241-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Fire Station 241,34999344,190084284,AUTO_Fire Station 241-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Fire Station 242,34999345,190084286,AUTO_Fire Station 242-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
